"","X.2","ExperimentID","Subcondition","Dep.measure","X.1","Paper.ID","row","exclude","Entered..by","Authors","Year","Experiment.name","N.subjects","num.data.1","num.data.2","N.unique.items","N.items.per.subj","num.data.items.1","num.data.items.2","Population","L1L1..L2L1..L1L2..L2L2","Auditory.prime","Target.task","Participant.produces.or.repeats.prime","Construction.type","Language","Lexical.boost.","Confederate.dialogue.","Lag","Quoted.text.from.original.paper.indicating.prediction.of.interest","Study.design","Dep.primed","participant.se..dep.primed.","Alt.primed","participant.se..alt.primed.","Simple.effect","se.on.diff","Other.pct","beta.from.lmer","std.error.on.beta","Dep.Omnibus.mean","Alt.Omnibus.mean","ANOVA.F1","ANOVA.F2","Baseline","participant.se..baseline.","Notes","X","p.repeats.prime","ID","StudyID","YearNum","L1","Other.pct.new","Alt.primed.new","Dep.primed.new"
"299",299,"46/Branigan H/2006/Experiment 7: Primin/SM/dative","SM","PO",362,46,351,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Stewart A.J.","2006","Experiment 7: Priming from subordinate and main clauses to main clause","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (main clause -> main clause vs. subordinate clause -> main clause)",0.69620253164557,"",0.541666666666667,"",0.16,"",0.245,NA,NA,NA,NA,"","",NA,"","","",1,"Branigan H/2006/Experiment 7: Primin/SM/PO","46/Branigan H/2006/Experiment 7: Primin",6,"L1L1",0.245,0.541666666666667,0.69620253164557
"300",300,"46/Branigan H/2006/Experiment 8: Primin/MS/dative","MS","DO",365,46,354,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Stewart A.J.","2006","Experiment 8: Priming from subordinate and main clauses to subordinate clause","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (main clause -> subordinate clause vs. subordinate clause -> subordinate clause)",0.333333333333333,"",0.160714285714286,"",0.11,"",0.42,NA,NA,NA,NA,"","",NA,"","","",1,"Branigan H/2006/Experiment 8: Primin/MS/DO","46/Branigan H/2006/Experiment 8: Primin",6,"L1L1",0.42,0.160714285714286,0.333333333333333
"301",301,"46/Branigan H/2006/Experiment 8: Primin/MS/dative","MS","PO",364,46,353,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Stewart A.J.","2006","Experiment 8: Priming from subordinate and main clauses to subordinate clause","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (main clause -> subordinate clause vs. subordinate clause -> subordinate clause)",0.839285714285714,"",0.666666666666667,"",0.07,"",0.42,NA,NA,NA,NA,"","",NA,"","","",1,"Branigan H/2006/Experiment 8: Primin/MS/PO","46/Branigan H/2006/Experiment 8: Primin",6,"L1L1",0.42,0.666666666666667,0.839285714285714
"302",302,"46/Branigan H/2006/Experiment 8: Primin/SS/dative","SS","DO",367,46,356,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Stewart A.J.","2006","Experiment 8: Priming from subordinate and main clauses to subordinate clause","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (main clause -> subordinate clause vs. subordinate clause -> subordinate clause)",0.411764705882353,"",0.134328358208955,"",0.19,"",0.325,NA,NA,NA,NA,"","",NA,"","","",1,"Branigan H/2006/Experiment 8: Primin/SS/DO","46/Branigan H/2006/Experiment 8: Primin",6,"L1L1",0.325,0.134328358208955,0.411764705882353
"303",303,"46/Branigan H/2006/Experiment 8: Primin/SS/dative","SS","PO",366,46,355,0,"RF","Branigan H.P., Pickering M.J., McLean J.F., Stewart A.J.","2006","Experiment 8: Priming from subordinate and main clauses to subordinate clause","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (main clause -> subordinate clause vs. subordinate clause -> subordinate clause)",0.865671641791045,"",0.588235294117647,"",0.18,"",0.325,NA,NA,NA,NA,"","",NA,"","","",1,"Branigan H/2006/Experiment 8: Primin/SS/PO","46/Branigan H/2006/Experiment 8: Primin",6,"L1L1",0.325,0.588235294117647,0.865671641791045
"304",304,"47/Branigan H/2000b/Experiment/intervening fragment/dative","intervening fragment","DO",371,47,360,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","filler","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.666666666666667,"",0.408450704225352,"",0.13,"",0.33,NA,NA,NA,NA,"","",NA,"","ANOVAS collapsing over lag on page 1301: F(1, 57) = 50.50, F(1, 21) = 48.29","",1,"Branigan H/2000b/Experiment/intervening fragment/DO","47/Branigan H/2000b/Experiment",0,"L1L1",0.33,0.408450704225352,0.666666666666667
"305",305,"47/Branigan H/2000b/Experiment/intervening fragment/dative","intervening fragment","PO",370,47,359,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","filler","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.591549295774648,"",0.333333333333333,"",0.21,"",0.33,NA,NA,NA,NA,"","",NA,"","ANOVAS collapsing over lag on page 1301: F(1, 57) = 52.75, F(1, 21) = 55.50","",1,"Branigan H/2000b/Experiment/intervening fragment/PO","47/Branigan H/2000b/Experiment",0,"L1L1",0.33,0.333333333333333,0.591549295774648
"306",306,"47/Branigan H/2000b/Experiment/no lag/dative","no lag","DO",369,47,358,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.661764705882353,"",0.333333333333333,"",0.24,"",0.345,NA,NA,NA,NA,"","",NA,"","ANOVAS collapsing over lag on page 1301: F(1, 57) = 50.50, F(1, 21) = 48.29","",1,"Branigan H/2000b/Experiment/no lag/DO","47/Branigan H/2000b/Experiment",0,"L1L1",0.345,0.333333333333333,0.661764705882353
"307",307,"47/Branigan H/2000b/Experiment/no lag/dative","no lag","PO",368,47,357,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.666666666666667,"",0.338235294117647,"",0.19,"",0.345,NA,NA,NA,NA,"","",NA,"","Several rows in this coding corrected by KM; ANOVAS collapsing over lag on page 1301: F(1, 57) = 52.75, F(1, 21) = 55.50","",1,"Branigan H/2000b/Experiment/no lag/PO","47/Branigan H/2000b/Experiment",0,"L1L1",0.345,0.338235294117647,0.666666666666667
"308",308,"47/Branigan H/2000b/Experiment/time delay/dative","time delay","DO",373,47,362,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.569444444444444,"",0.283582089552239,"",0.22,"",0.305,NA,NA,NA,NA,"","",NA,"","ANOVAS collapsing over lag on page 1301: F(1, 57) = 50.50, F(1, 21) = 48.29","",1,"Branigan H/2000b/Experiment/time delay/DO","47/Branigan H/2000b/Experiment",0,"L1L1",0.305,0.283582089552239,0.569444444444444
"309",309,"47/Branigan H/2000b/Experiment/time delay/dative","time delay","PO",372,47,361,0,"RF","Branigan H.P., Pickering M.J., Stewart A.J., McLean J.F.","2000b","Experiment","20&20",20,20,"22","11&11",11,11,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","p. 1299,  If the lack o f persistence in Branigan et al. was due to the written nature ofthe task, persistence should occur in spoken sentence completion. If it was instead due to the nature of sentence completion, priming should rapidly decay. ","2 (prime) x 3 (lag)",0.716417910447761,"",0.430555555555556,"",0.17,"",0.305,NA,NA,NA,NA,"","",NA,"","ANOVAS collapsing over lag on page 1301: F(1, 57) = 52.75, F(1, 21) = 55.50","",1,"Branigan H/2000b/Experiment/time delay/PO","47/Branigan H/2000b/Experiment",0,"L1L1",0.305,0.430555555555556,0.716417910447761
"310",310,"48/Cleland A./2006/Experiment 1/spoken/dative","spoken","DO",375,48,364,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 1","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","1","ASC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.613333333322009,"",0.305555555548765,"",0.2554945055,"",0.1788211788,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 1/spoken/DO","48/Cleland A./2006/Experiment 1",6,"L1L1",0.1788211788,0.305555555548765,0.613333333322009
"311",311,"48/Cleland A./2006/Experiment 1/spoken/dative","spoken","PO",374,48,363,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 1","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","1","ASC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.694444444451235,"",0.386666666677991,"",0.2495004995,"",0.1788211788,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 1/spoken/PO","48/Cleland A./2006/Experiment 1",6,"L1L1",0.1788211788,0.386666666677991,0.694444444451235
"312",312,"48/Cleland A./2006/Experiment 1/written/dative","written","DO",377,48,366,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 1","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.71232876715136,"",0.467944877136357,"",0.1325757576,"",0.0954972258,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 1/written/DO","48/Cleland A./2006/Experiment 1",6,"L1L1",0.0954972258,0.467944877136357,0.71232876715136
"313",313,"48/Cleland A./2006/Experiment 1/written/dative","written","PO",376,48,365,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 1","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.532055122863643,"",0.287671232848639,"",0.2824903969,"",0.0954972258,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 1/written/PO","48/Cleland A./2006/Experiment 1",6,"L1L1",0.0954972258,0.287671232848639,0.532055122863643
"314",314,"48/Cleland A./2006/Experiment 2/spoken/dative","spoken","DO",379,48,368,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 2","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","1","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.484374999977039,"",0.325925925875139,"",0.1153820882,"",0.246517511,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 2/spoken/DO","48/Cleland A./2006/Experiment 2",6,"L1L1",0.246517511,0.325925925875139,0.484374999977039
"315",315,"48/Cleland A./2006/Experiment 2/spoken/dative","spoken","PO",378,48,367,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 2","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","1","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.674074074124861,"",0.515625000022961,"",0.1252710428,"",0.246517511,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 2/spoken/PO","48/Cleland A./2006/Experiment 2",6,"L1L1",0.246517511,0.515625000022961,0.674074074124861
"316",316,"48/Cleland A./2006/Experiment 2/written/dative","written","DO",381,48,370,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 2","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.510638297883084,"",0.414062499982776,"",0.08521727359,"",0.21839041565,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 2/written/DO","48/Cleland A./2006/Experiment 2",6,"L1L1",0.21839041565,0.414062499982776,0.510638297883084
"317",317,"48/Cleland A./2006/Experiment 2/written/dative","written","PO",380,48,369,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 2","32&32",32,32,"24","6&6",6,6,"University of Glasgow community","L1L1","0","ASC",1,"dative","English","no","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.585937500017224,"",0.489361702116916,"",0.06416677948,"",0.21839041565,NA,NA,NA,NA,"","",NA,"","spoken target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 2/written/PO","48/Cleland A./2006/Experiment 2",6,"L1L1",0.21839041565,0.489361702116916,0.585937500017224
"318",318,"48/Cleland A./2006/Experiment 3/spoken/dative","spoken","DO",383,48,372,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 3","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","1","WSC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.358490566006408,"",0.175438596478609,"",0.0939578714,"",0.35130266075,NA,NA,NA,NA,"","",NA,"","written target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 3/spoken/DO","48/Cleland A./2006/Experiment 3",6,"L1L1",0.35130266075,0.175438596478609,0.358490566006408
"319",319,"48/Cleland A./2006/Experiment 3/spoken/dative","spoken","PO",382,48,371,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 3","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","1","WSC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.824561403521391,"",0.641509433993592,"",0.1868070953,"",0.35130266075,NA,NA,NA,NA,"","",NA,"","written target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 3/spoken/PO","48/Cleland A./2006/Experiment 3",6,"L1L1",0.35130266075,0.641509433993592,0.824561403521391
"320",320,"48/Cleland A./2006/Experiment 3/written/dative","written","DO",385,48,374,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 3","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","0","WSC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.406249999976807,"",0.238601150973484,"",0.1108935129,"",0.32202228615,NA,NA,NA,NA,"","",NA,"","written target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 3/written/DO","48/Cleland A./2006/Experiment 3",6,"L1L1",0.32202228615,0.238601150973484,0.406249999976807
"321",321,"48/Cleland A./2006/Experiment 3/written/dative","written","PO",384,48,373,0,"RF","Cleland A.A., Pickering M.J.","2006","Experiment 3","16&16",16,16,"24","6&6",6,6,"University of Glasgow community","L1L1","0","WSC",1,"dative","English","yes","no","0","","2 (prime) x 2 (prime modality: spoken vs. written)",0.761398849026516,"",0.593750000023193,"",0.1194805195,"",0.32202228615,NA,NA,NA,NA,"","",NA,"","written target; combined ANOVAS p. 190","",1,"Cleland A./2006/Experiment 3/written/PO","48/Cleland A./2006/Experiment 3",6,"L1L1",0.32202228615,0.593750000023193,0.761398849026516
"322",322,"49/Corley M.,/2002//lexical boost/dative","lexical boost","DO",387,49,376,0,"RF","Corley M., Scheepers C.","2002","","54&54",54,54,"32","8&8",8,8,"L1 World Wide Web","L1L1","0","WSC",0,"dative","English","yes","no","0","","2 (prime) x 2 (lexical boost)",0.29,"",0.27,"",0.02,"",0.03,NA,NA,NA,NA,"","",NA,"","combined ANOVAs p. 129","",0,"Corley M.,/2002//lexical boost/DO","49/Corley M.,/2002/",2,"L1L1",NA,NA,NA
"323",323,"49/Corley M.,/2002//lexical boost/dative","lexical boost","PO",386,49,375,0,"RF","Corley M., Scheepers C.","2002","","54&54",54,54,"32","8&8",8,8,"L1 World Wide Web","L1L1","0","WSC",0,"dative","English","yes","no","0","","2 (prime) x 2 (lexical boost)",0.37,"",0.22,"",0.15,"",0.03,NA,NA,NA,NA,"","",NA,"","combined ANOVAs p. 129","12 subjects excluded, 3% of data excluded before Other. Other is baked into proportions but 3% is not.",0,"Corley M.,/2002//lexical boost/PO","49/Corley M.,/2002/",2,"L1L1",NA,NA,NA
"324",324,"49/Corley M.,/2002//no lexical boost/dative","no lexical boost","DO",389,49,378,0,"RF","Corley M., Scheepers C.","2002","","54&54",54,54,"32","8&8",8,8,"L1 World Wide Web","L1L1","0","WSC",0,"dative","English","no","no","0","","2 (prime) x 2 (lexical boost)",0.25,"",0.32,"",-0.07,"",0.03,NA,NA,NA,NA,"","",NA,"","combined ANOVAs p. 129","",0,"Corley M.,/2002//no lexical boost/DO","49/Corley M.,/2002/",2,"L1L1",NA,NA,NA
"325",325,"49/Corley M.,/2002//no lexical boost/dative","no lexical boost","PO",388,49,377,0,"RF","Corley M., Scheepers C.","2002","","54&54",54,54,"32","8&8",8,8,"L1 World Wide Web","L1L1","0","WSC",0,"dative","English","no","no","0","","2 (prime) x 2 (lexical boost)",0.37,"",0.23,"",0.14,"",0.03,NA,NA,NA,NA,"","",NA,"","combined ANOVAs p. 129","",0,"Corley M.,/2002//no lexical boost/PO","49/Corley M.,/2002/",2,"L1L1",NA,NA,NA
"326",326,"5/Bock K./1989/Experiment 1/for/dative","for","PO",52,5,52,0,"RF","Bock K.","1989","Experiment 1","96&96",96,96,"32","8&8",8,8,"University of Michigan undergraduates","L1L1","1","PD",1,"dative","English","no","no","0","p. 168, If closed-class words are intrinsic to sentence frames, then different frames must be constructed during the utterance of prepositional to and for priming sentences. The corresponding differences in generation processes should affect the creation of an utterance to describe an event such as the one depicted in Figure 2. This picture, like the others used in the experiments, can be naturally described with a verb that takes a to phrase as a complement, yielding a prepositional to-dative. When, after producing a prepositional sentence as a prime, subjects proceed to describe such a picture, the strength of the structural repetition effect should be greater for the to-dative than for the matched for-dative prime. Specifically, subjects should be more likely to say The girl is handing a paintbrush to the boy after the prepositional :c-dative than after the prepositional for-dative prime.","prime construction (2) x benefactive (2) (DO/PO vs. to/for)",0.45,"",0.38,"",0.07,"",0,NA,NA,NA,NA,"","",NA,"","ANOVAs on p. 174 collapse over to and for: F1(1,95) = 7.97, F2(1,31) = 3.80","",1,"Bock K./1989/Experiment 1/for/PO","5/Bock K./1989/Experiment 1",-11,"L1L1",NA,NA,NA
"327",327,"5/Bock K./1989/Experiment 1/to/dative","to","PO",51,5,51,0,"RF","Bock K.","1989","Experiment 1","96&96",96,96,"32","8&8",8,8,"University of Michigan undergraduates","L1L1","1","PD",1,"dative","English","no","no","0","p. 168, If closed-class words are intrinsic to sentence frames, then different frames must be constructed during the utterance of prepositional to and for priming sentences. The corresponding differences in generation processes should affect the creation of an utterance to describe an event such as the one depicted in Figure 2. This picture, like the others used in the experiments, can be naturally described with a verb that takes a to phrase as a complement, yielding a prepositional to-dative. When, after producing a prepositional sentence as a prime, subjects proceed to describe such a picture, the strength of the structural repetition effect should be greater for the to-dative than for the matched for-dative prime. Specifically, subjects should be more likely to say The girl is handing a paintbrush to the boy after the prepositional :c-dative than after the prepositional for-dative prime.","prime construction (2) x benefactive (2) (DO/PO vs. to/for)",0.41,"",0.36,"",0.05,"",0,NA,NA,NA,NA,"","",NA,"","ANOVAs on p. 174 collapse over to and for: F1(1,95) = 7.97, F2(1,31) = 3.80","",1,"Bock K./1989/Experiment 1/to/PO","5/Bock K./1989/Experiment 1",-11,"L1L1",NA,NA,NA
"328",328,"5/Bock K./1989/Experiment 2/for/dative","for","PO",54,5,54,0,"RF","Bock K.","1989","Experiment 2","192&192",192,192,"32","8&8",8,8,"University of Michigan undergraduates","L1L1","1","PD",1,"dative","English","no","no","0","p. 177, Such persistence indicates that priming from one trial in the present experiment could have affected subsequent trials. This would increase variability among the items and weaken the priming effect. The second experiment was conducted in order to reduce the contamination across priming trials.","prime construction (2) x benefactive (2) (DO/PO vs. to/for)",0.4180672269,"",0.2819472617,"",0.1361199652,"",0,NA,NA,NA,NA,"","",NA,"","ANOVAs on p. 179 collapse over to and for, F1(1,190) = 29.3, F2(1,30) = 41.07","",1,"Bock K./1989/Experiment 2/for/PO","5/Bock K./1989/Experiment 2",-11,"L1L1",NA,NA,NA
"329",329,"5/Bock K./1989/Experiment 2/to/dative","to","PO",53,5,53,0,"RF","Bock K.","1989","Experiment 2","192&192",192,192,"32","8&8",8,8,"University of Michigan undergraduates","L1L1","1","PD",1,"dative","English","no","no","0","p. 177, Such persistence indicates that priming from one trial in the present experiment could have affected subsequent trials. This would increase variability among the items and weaken the priming effect. The second experiment was conducted in order to reduce the contamination across priming trials.","prime construction (2) x benefactive (2) (DO/PO vs. to/for)",0.4127310062,"",0.2747933884,"",0.1379376177,"",0,NA,NA,NA,NA,"","",NA,"","ANOVAs on p. 179 collapse over to and for, F1(1,190) = 29.3, F2(1,30) = 41.07","",1,"Bock K./1989/Experiment 2/to/PO","5/Bock K./1989/Experiment 2",-11,"L1L1",NA,NA,NA
"330",330,"50/Coyle J.M./2008//PO bias/dative","PO bias","DO",390,50,379,0,"KM","Coyle J.M., Kaschak M.P.","2008","","40&40",40,40,"8","4&4",4,4,"Florida State University undergraduates","L1L1","0","WSC",0,"dative","English","yes","no","cum","p. 968, If our hypothesis was correct, we expected a verb bias effect in this experiment.","2 (verb bias prime)",0.5,"0.06957010852",0.35,"0.06166441437",0.15,"",0.28,NA,NA,NA,NA,"","",NA,"","What they mean by ""verb bias"" here is not dependent on the verb itself but on how it is used in the prime phase. They talk about this as a lexical boost effect but it's a priming effect. In the prime phase, Verb A is seen only in DO constructions and Verb B in PO constructions. Then they see if this emerges in the target phase.","",0,"Coyle J.M./2008//PO bias/DO","50/Coyle J.M./2008/",8,"L1L1",NA,NA,NA
"331",331,"51/Desmet T.,/2006/Experiment 1//RC attachment","","HA",391,51,380,0,"RF","Desmet T., Declercq M.","2006","Experiment 1","30&30",30,30,"24","8&8",8,8,"Ghent University community","L1L1","0","WSC",0,"RC attachment","Dutch","no","no","0","p. 614,  In the first experiment, we show that the gender agreement marked on Dutch relative pronouns is strong enough to elicit a similar relative clause attachment priming effect as in German.","3 (prime w/ baseline)",0.4557,"",0.35,"",0.1057,"0.019?",0.009,NA,NA,NA,NA,"F(1, 29) = 7.39","F(1, 23) = 6.25",0.4286,"","","",0,"Desmet T.,/2006/Experiment 1//HA","51/Desmet T.,/2006/Experiment 1",6,"L1L1",NA,NA,NA
"332",332,"51/Desmet T.,/2006/Experiment 2//RC attachment","","HA",392,51,381,0,"KM","Desmet T., Declercq M.","2006","Experiment 2","24&24",24,24,"24","8&8",8,8,"Dutch L1, English L2","L1L2","0","WSC",0,"RC attachment","Dutch/English","no","no","0","","3 (prime w/ baseline)",0.4241,"",0.3168,"",0.1073,"",0.17,NA,NA,NA,NA,"","",NA,"","","",0,"Desmet T.,/2006/Experiment 2//HA","51/Desmet T.,/2006/Experiment 2",6,"L1L2",NA,NA,NA
"333",333,"52/Hartsuiker/1998b/Experiment 1/A vs P1, 0 lag/transitive","A vs P1, 0 lag","A",412,52,401,0,"KM","Hartsuiker R.J., Kolk H.H.J.","1998b","Experiment 1","42&42",42,42,"24","8&8",8,8,"Nijmegen students","L1L1","read aloud","PD",1,"transitive","Dutch","no","no","0","","3 (prime) x lag (0ms/1000ms)",0.493927125506073,"",0.5,"",-0.033,"",0.476,NA,NA,NA,NA,"","",NA,"","","",1,"Hartsuiker/1998b/Experiment 1/A vs P1, 0 lag/A","52/Hartsuiker/1998b/Experiment 1",-2,"L1L1",0.476,0.5,0.493927125506073
"334",334,"52/Hartsuiker/1998b/Experiment 1/A vs P1, 0 lag/transitive","A vs P1, 0 lag","P",406,52,395,0,"KM","Hartsuiker R.J., Kolk H.H.J.","1998b","Experiment 1","42&42",42,42,"24","8&8",8,8,"Nijmegen students","L1L1","read aloud","PD",1,"transitive","Dutch","no","no","0","","3 (prime) x lag (0ms/1000ms)",0.5,"",0.506072874493927,"",0.027,"",0.476,NA,NA,NA,NA,"","",NA,"","","",1,"Hartsuiker/1998b/Experiment 1/A vs P1, 0 lag/P","52/Hartsuiker/1998b/Experiment 1",-2,"L1L1",0.476,0.506072874493927,0.5
"335",335,"52/Hartsuiker/1998b/Experiment 1/A vs P1, 1000 lag/transitive","A vs P1, 1000 lag","A",413,52,402,0,"KM","Hartsuiker R.J., Kolk H.H.J.","1998b","Experiment 1","42&42",42,42,"24","8&8",8,8,"Nijmegen students","L1L1","read aloud","PD",1,"transitive","Dutch","no","no","0","","3 (prime) x lag (0ms/1000ms)",0.603485838779956,"",0.496788008565311,"",0.045,"",0.537,NA,NA,NA,NA,"","",NA,"","","",1,"Hartsuiker/1998b/Experiment 1/A vs P1, 1000 lag/A","52/Hartsuiker/1998b/Experiment 1",-2,"L1L1",0.537,0.496788008565311,0.603485838779956
"336",336,"52/Hartsuiker/1998b/Experiment 1/A vs P1, 1000 lag/transitive","A vs P1, 1000 lag","P",407,52,396,0,"KM","Hartsuiker R.J., Kolk H.H.J.","1998b","Experiment 1","42&42",42,42,"24","8&8",8,8,"Nijmegen students","L1L1","read aloud","PD",1,"transitive","Dutch","no","no","0","","3 (prime) x lag (0ms/1000ms)",0.50321199143469,"",0.396514161220044,"",0.053,"",0.537,NA,NA,NA,NA,"","",NA,"","","",1,"Hartsuiker/1998b/Experiment 1/A vs P1, 1000 lag/P","52/Hartsuiker/1998b/Experiment 1",-2,"L1L1",0.537,0.396514161220044,0.50321199143469
"337",337,"52/Hartsuiker/1998b/Experiment 1/A vs P2, 0 lag/transitive","A vs P2, 0 lag","A",416,52,405,0,"KM","Hartsuiker R.J., Kolk H.H.J.","1998b","Experiment 1","42&42",42,42,"24","8&8",8,8,"Nijmegen students","L1L1","read aloud","PD",1,"transitive","Dutch","no","no","0","","3 (prime) x lag (0ms/1000ms)",0.853146853146853,"",0.809187279151943,"",0.015,"",0.7155,NA,NA,NA,NA,"","",NA,"","","",1,"Hartsuiker/1998b/Experiment 1/A vs P2, 0 lag/A","52/Hartsuiker/1998b/Experiment 1",-2,"L1L1",0.7155,0.809187279151943,0.853146853146853
